㑮 𫝈
瓛 𤩽
畵 画
畼 𪽈
痠 酸
痮 𪽪
瘱 𪽷
瘲 疭
癐 𤶊
皟 𤾀
盨 𪾔
眝 𪾣
眞 真
睍 𪾢
瞜 䁖
瞤 𥆧
瞶 瞆
矉 𪾸
矑 𪾦
矓 眬
硜 硁
碕 埼
碙 𥐻
碽 䂵
磠 硵
磾 䃅
礆 硷
礐 𬒈
礒 𥐟
祇 只
禡 祃
稏 䅉
穀 谷
穇 䅟
穠 秾
竱 𫁟
篔 筼
篘 𥬠
篠 筿
篢 𬕂
篸 𥮾
簂 𫂆
簢 𫂃
簹 筜
籅 𥫣
籋 𥬞
籔 䉤
籛 篯
糹 纟
紃 𬘓
紘 纮
紞 𬘘
紟 𫄛
紵 纻
絁 𫄟
絅 䌹
絍 𫟃
絙 𫄠
絥 𫄢
絧 𫄡
絪 𬘡
絺 𫄨
綀 𦈌
綄 𬘫
綇 𦈋
綋 𫟄
綌 绤
綎 𬘩
綐 䌼
綖 𫄧
綝 𬘭
綟 𫄫
綡 𫟅
綧 𬘯
綪 𬘬
綯 绹
緍 𦈏
緓 绬
緟 𫟆
緤 𫄬
緮 𫄭
緰 𦈕
緷 𦈉
緸 𦈑
縍 𫄰
縎 𦈔
縕 缊
縬 𦈚
縯 𬙂
縰 𫄳
縳 䌸
縸 𫄲
縺 𦈐
繂 𫄴
繏 𦈝
繐 𰬸
繓 𦈛
繟 𦈎
繨 𫄤
繬 𫄱
繶 𫄷
繷 𫄣
繸 䍁
繻 𦈡
繿 䍀
纁 𫄸
纆 𬙊
纇 颣
纕 𬙋
纗 𫄹
纚 𫄥
罃 䓨
羵 𫅗
翽 翙
聻 𫆏
脥 𣍰
腪 𣍯
膞 䏝
膢 𦝼
膹 𪱥
臗 𣎑
菕 𰰨
萴 荝
葝 𫈎
葯 药
蒍 𫇭
蒕 蒀
蒭 𫇴
蔄 𬜬
蔘 参
蔯 𫈟
蔿 𫇭
蕝 𫈵
蕳 𫈉
蕽 𫇽
薀 蕰
薆 𫉁
薘 荙
薳 䓕
薴 苧
薵 䓓
薹 苔
藭 䓖
蘟 𦻕
虆 蔂
虉 𬟁
蝀 𬟽
螮 䗖
螿 螀
蟂 𫋇
蟘 𫋌
蟜 𫊸
蟳 𫊻
蠀 𧏗
蠁 蚃
蠙 𧏖
蠦 𫊮
蠾 𧑏
褌 裈
褘 袆
襀 𫌀
襉 裥
襏 袯
襓 𫋹
襗 𫋷
襘 𫋻
襰 𧝝
襴 襕
襵 𫌇
覈 核
覛 𫌪
覥 觍
覹 𫌭
覼 𫌨
訏 𬣙
訑 𫍙
訒 讱
訜 𫍛
訞 𫍚
訨 𫟞
証 证
詀 𧮪
詊 𫟟
詑 𫍡
詓 𫍜
詖 诐
詝 𬣞
詪 𬣳
詷 𫍣
誂 𫍥
誋 𫍪
誫 𫍨
誳 𫍮
誴 𫟡
誷 𫍬
誺 𫍧
誾 訚
諓 𬣡
諟 𬤊
諣 𫍩
諥 𫍳
諯 𫍱
諰 𫍰
諲 𬤇
諴 𫍯
謆 𫍸
謉 𫍷
謏 𫍲
謭 谫
謯 𫍹
謱 𫍴
謸 𫍵
譂 𫟠
譅 𰶎
譊 𫍢
譑 𫍤
譓 𬤝
譞 𫍽
譨 𫍦
譸 诪
讋 詟
豵 𫎆
貗 𫎌
貙 䝙
貟 贠
賝 𫎩
賟 𧹖
賰 䞐
賵 赗
贃 𧹗
贇 赟
贉 𫎫
贔 赑
贚 𫎦
踰 逾
蹔 𫏐
蹳 𫏆
躂 跶
躎 䟢
躘 𨀁
躝 𨅬
軉 𨉗
軏 𫐄
軑 轪
軕 𫐅
軗 𨐅
軜 𫐇
軝 𬨂
軨 𫐉
軬 𫐊
軷 𫐈
軿 𫐌
輄 𨐈
輈 辀
輋 𪨶
輖 𫐏
輗 𫐐
輢 𫐎
輨 𫐑
輬 辌
輮 𫐓
輶 𬨎
輷 𫐒
輼 辒
轀 辒
轇 𫐖
轊 𫐕
轐 𫐗
轗 𫐘
轠 𫐙
轣 𫐆
遱 𫐷
鄟 𫑘
鄩 𬩽
鄳 𫑡
酇 酂
醟 蒏
醣 糖
醱 酦
醲 𬪩
醶 𫑷
釒 钅
釚 𫟲
釟 𫓥
釨 𫓦
釲 𫟳
釳 𨰿
釴 𬬩
釾 䥺
釿 𬬱
鈅 钥
鈇 𫓧
鈋 𨱂
鈒 钑
鈖 𫟴
鈗 𫟵
鈛 𫓨
鈠 𨱁
鈡 钟
鈯 𨱄
鈲 𨱃
鉁 𨱅
鉊 𬬿
鉋 铇
鉔 𫓬
鉝 𫟷
鉠 𫓭
鉥 𬬸
鉧 𬭁
鉮 𬬹
鉳 锫
鉷 𫟹
鉽 𫟸
鉾 𫓴
銁 𫓲
銂 𫟻
銈 𫓯
銊 𫓰
銍 铚
銏 𫟶
銛 铦
銶 𨱇
鋂 𰾄
鋉 𨱈
鋐 𬭎
鋗 𫓶
鋙 铻
鋠 𫓵
鋹 𬬮
錀 𬬭
錂 𨱋
錏 铔
錜 𫓻
錝 𫓽
錞 𬭚
錡 锜
錤 𫓹
錥 𫓾
錩 锠
錼 镎
錽 𫓸
鍄 𨱉
鍅 钫
鍈 锳
鍉 𫔂
鍒 𫔄
鍠 锽
鍭 𬭤
鍮 𨱎
鎈 𫟿
鎍 𫔅
鎓 𬭩
鎙 𫔈
鎛 镈
鎝 𨱏
鎞 𫔇
鎭 镇
鎯 𨱍
鎲 镋
鎶 鿔
鎷 𨰾
鏆 𨱌
鏉 𨱒
鏏 𬭬
鏐 镠
鏚 𬭭
鏥 𫔊
鏦 𫓩
鏺 䥽
鏻 𬭸
鏾 𫔌
鐄 𨱑
鐇 𫔍
鐈 𫓱
鐍 𫔎
鐎 𨱓
鐏 𨱔
鐥 䦅
鐩 𬭼
鐪 𫓺
鐯 䦃
鐼 𫔁
鐽 𫟼
鑀 𰾭
鑉 𫠁
鑱 镵
鑴 𫔔
钁 镢
閈 闬
閍 𨸂
閐 𨸃
閗 𫔯
閝 𫠂
閞 𫔰
閵 𫔴
闉 𬮱
闍 阇
闑 𫔶
闒 阘
闠 阓
闤 阛
隑 𬮿
隤 𬯎
隮 𬯀
隯 陦
霢 霡
霣 𫕥
霼 𪵣
靝 靔
靧 𫖃
鞝 绱
韚 𫠅
韛 𫖔
韠 𫖒
頍 𫠆
頔 𬱖
頠 𬱟
頮 颒
頵 𫖳
顂 𩓋
顃 𩖖
顅 𫖶
顗 𫖮
顣 𫖹
颭 飐
颰 𩙥
颷 𩙪
颻 飖
颾 𩙫
飋 𫗋
飠 饣
飣 饤
飦 𫗞
飵 𫗢
飶 𫗣
餔 𫗦
餕 馂
餖 饾
餗 𫗧
餦 𫗠
餪 𫗬
餫 𫗥
餭 𫗮
餸 𩠌
饁 馌
饘 𫗴
饠 𫗩
馯 𫘛
馹 驲
馼 𫘜
駃 𫘝
駉 𬳶
駊 𫘟
駎 𩧨
駓 𬳵
駚 𩧫
駤 𫘠
駧 𩧲
駩 𩧴
駪 𬳽
駫 𫘡
駰 骃
駶 𩧺
駻 𫘣
駼 𬳿
騂 骍
騄 𫘧
騉 𫘥
騊 𫘦
騑 𬴂
騔 𩨀
騚 𩨊
騜 𫘩
騝 𩨃
騞 𬴃
騟 𩨈
騠 𫘨
騤 骙
騧 䯄
騪 𩨄
騱 𫘬
騴 𫘫
騵 𫘪
騻 𫘭
騼 𫠋
驋 𩧯
驌 骕
驎 𬴊
驓 𫘯
驙 𫘰
驦 骦
驨 𫘱
驫 骉
鬖 𩭹
鬠 𫘽
鬹 鬶
魟 𫚉
魢 鱾
魥 𩽹
魦 𫚌
魨 鲀
魵 𫚍
魺 鲄
魽 𫠐
鮀 𬶍
鮄 𫚒
鮅 𫚑
鮆 𫚖
鮈 𬶋
鮊 鲌
鮋 鲉
鮜 鲘
鮝 鲞
鮟 𩽾
鮠 𬶏
鮡 𬶐
鮣 䲟
鮤 𫚓
鮯 𫚗
鮰 𫚔
鮳 鲓
鮵 𫚛
鮶 鲪
鮸 𩾃
鮿 𫚚
鯄 𩾁
鯆 𫚙
鯒 鲬
鯕 鲯
鯞 𫚡
鯬 𫚞
鯱 𩾇
鯶 𩽼
鯷 鳀
鯻 𬶟
鯾 𫚣
鰁 鳈
鰃 鳂
鰆 䲠
鰊 𬶠
鰋 𫚢
鰏 鲾
鰑 𫚊
鰕 𫚥
鰜 鳒
鰤 𫚕
鰦 𫚤
鰧 䲢
鰫 𫚦
鰮 鳁
鰶 𬶭
鰺 鲹
鰽 𫚧
鱀 𬶨
鱂 鳉
鱄 𫚋
鱆 𫠒
鱇 𩾌
鱊 𫚪
鱚 𬶮
鱢 𫚫
鱤 鳡
鱮 𫚈
鱯 鳠
鱲 𫚭
鳲 鸤
鳷 𫛛
鳼 𪉃
鳽 𫛚
鳾 䴓
鴀 𫛜
鴃 𫛞
鴅 𫛝
鴐 𫛤
鴔 𫛡
鴗 𫁡
鴜 𪉈
鴥 𫛣
鴮 𫛦
鴲 𪉆
鴳 𫛩
鴷 䴕
鴽 𫛪
鵁 䴔
鵊 𫛥
鵏 𬷕
鵐 鹀
鵚 𪉍
鵟 𫛭
鵧 𫛨
鵩 𫛳
鵫 𫛱
鵷 鹓
鵾 鹍
鶄 䴖
鶌 𫛵
鶒 𫛶
鶖 鹙
鶗 𫛸
鶠 𬸘
鶦 𫛷
鶪 䴗
鶭 𫛯
鶰 𫛫
鶱 𬸣
鶲 鹟
鶹 鹠
鷁 鹢
鷅 𫛽
鷉 䴘
鷊 鹝
鷐 𫜀
鷔 𪉑
鷖 鹥
鷟 𬸦
鷣 𫜃
鷤 𫛴
鷨 𪉊
鷩 𫜁
鷫 鹔
鷭 𬸪
鷷 𫜄
鷽 鸴
鷿 𬸯
鸂 㶉
鸊 䴙
鸋 𫛢
鸏 鹲
鸑 𬸚
鸗 𫛟
鸘 鹴
麨 𪎊
麫 面
麬 𤿲
麲 𪎉
麳 𪎌
麴 曲
麷 𫜑
鼂 鼌
齕 龁
齗 龂
齘 𬹼
齭 𫜭
齮 𬺈
齯 𫠜
齰 𫜬
齴 𫜮
齼 𬺓
齾 𫜰
龎 厐
龑 䶮
龓 𫜲
龭 𩨎
龯 𨱆
鿁 䜤
鿓 鿒
𠁞 𠀾
𠌥 𠆿
𠏢 𠉗
𠐊 𫝋
𠗣 㓆
𠞆 𠛆
𠠎 𠚳
𠬙 𪠡
𠽃 𪠺
𠿕 𪜎
𡂡 𪢒
𡃄 𪡺
𡃕 𠴛
𡃤 𪢐
𡄔 𠴢
𡄣 𠵸
𡅏 𠲥
𡅯 𪢖
𡑍 𫭼
𡑭 𡋗
𡓁 𪤄
𡓾 𡋀
𡔖 𡍣
𡞵 㛟
𡟫 𫝪
𡠹 㛿
𡢃 㛠
𡮉 𡭜
𡮣 𡭬
𡳳 𡳃
𡸗 𪨩
𡹬 𪨹
𡻕 岁
𡽗 𡸃
𡾱 㟜
𡿖 𪩛
𢍰 𪪴
𢠼 𢙑
𢣐 𪬚
𢣚 𢘝
𢣭 𢘞
𢤩 𪫡
𢤱 𢘙
𢤿 𪬯
𢯷 𪭝
𢶒 𪭯
𢶫 𢫞
𢷮 𢫊
𢹿 𢬦
𢺳 𪮳
𣈶 暅
𣋋 𣈣
𣍐 𫧃
𣙎 㭣
𣜬 𪳗
𣝕 𣘷
𣞻 𣘓
𣠩 𣞎
𣠲 𣑶
𣯩 𣯣
𣯴 𣭤
𣯶 毶
𣽏 𪶮
𣾷 㳢
𣿉 𣶫
𤁣 𣺽
𤄷 𪶒
𤅶 𣷷
𤑳 𤎻
𤑹 𪹀
𤒎 𤊀
𤒻 𪹹
𤓌 𪹠
𤓎 𤎺
𤓩 𤊰
𤘀 𪺣
𤛮 𤙯
𤛱 𫞢
𤜆 𪺪
𤠮 𪺸
𤢟 𤝢
𤢻 𢢐
𤩂 𫞧
𤪺 㻘
𤫩 㻏
𤬅 𪼴
𤳷 𪽝
𤳸 𤳄
𤷃 𪽭
𤸫 𤶧
𤺔 𪽴
𥊝 𥅿
𥌃 𥅘
𥏝 𪿊
𥕥 𥐰
𥖅 𥐯
𥖲 𪿞
𥗇 𪿵
𥗽 𬒗
𥜐 𫀓
𥜰 𫀌
𥞵 𥞦
𥢢 䅪
𥢶 𫞷
𥢷 𫀮
𥨐 𥧂
𥪂 𥩺
𥯤 𫁳
𥴨 𫂖
𥴼 𫁺
𥵃 𥱔
𥵊 𥭉
𥶽 𫁱
𥸠 𥮋
𥻦 𫂿
𥼽 𥹥
𥽖 𥺇
𥾯 𫄝
𥿊 𦈈
𦀖 𫄦
𦂅 𦈒
𦃄 𦈗
𦃩 𫄯
𦅇 𫄪
𦅈 𫄵
𦆲 𫟇
𦒀 𫅥
𦔖 𫅼
𦘧 𡳒
𦟼 𫆝
𦠅 𫞅
𦡝 𫆫
𦢈 𣍨
𦣎 𦟗
𦧺 𫇘
𦪙 䑽
𦪽 𦨩
𦱌 𫇪
𦾟 𦶻
𧎈 𧌥
𧒯 𫊹
𧔥 𧒭
𧕟 𧉐
𧜗 䘞
𧜵 䙊
𧝞 䘛
𧞫 𫌋
𧟀 𧝧
𧡴 𫌫
𧢄 𫌬
𧦝 𫍞
𧦧 𫍟
𧩕 𫍭
𧩙 䜥
𧩼 𫍶
𧫝 𫍺
𧬤 𫍼
𧭈 𫍾
𧭹 𫍐
𧳟 𧳕
𧵳 䞌
𧶔 𧹓
𧶧 䞎
𧷎 𪠀
𧸘 𫎨
𧹈 𪥠
𧽯 𫎸
𨂐 𫏌
𨄣 𨀱
𨅍 𨁴
𨆪 𫏕
𨇁 𧿈
𨇞 𨅫
𨇤 𫏨
𨇰 𫏞
𨇽 𫏑
𨈊 𨂺
𨈌 𨄄
𨊰 䢀
𨊸 䢁
𨊻 𨐆
𨋢 䢂
𨌈 𫐍
𨍰 𫐔
𨎌 𫐋
𨎮 𨐉
𨏠 𨐇
𨏥 𨐊
𨞺 𫟫
𨟊 𫟬
𨢿 𨡙
𨣈 𨡺
𨣞 𨟳
𨣧 𨠨
𨤻 𨤰
𨥛 𨱀
𨥟 𫓫
𨦫 䦀
𨧀 𬭊
𨧜 䦁
𨧰 𫟽
𨧱 𨱊
𨨏 𬭛
𨨛 𫓼
𨨢 𫓿
𨩰 𫟾
𨪕 𫓮
𨫒 𨱐
𨬖 𫔏
𨭆 𬭶
𨭎 𬭳
𨭖 𫔑
𨭸 𫔐
𨮂 𨱕
𨮳 𫔒
𨯅 䥿
𨯟 𫔓
𨰃 𫔉
𨰋 𫓳
𨰥 𫔕
𨰲 𫔃
𨲳 𫔖
𨳑 𨸁
𨳕 𨸀
𨴗 𨸅
𨴹 𫔲
𨵩 𨸆
𨵸 𨸇
𨶀 𨸉
𨶏 𨸊
𨶮 𨸌
𨶲 𨸋
𨷲 𨸎
𨼳 𫔽
𨽏 𨸘
𩀨 𫕚
𩅙 𫕨
𩎖 𫖑
𩎢 𩏾
𩏂 𫖓
𩏠 𫖖
𩏪 𩏽
𩏷 𫃗
𩑔 𫖪
𩒎 𫖭
𩓣 𩖕
𩓥 𫖵
𩔑 𫖷
𩔳 𫖴
𩖰 𫠇
𩗀 𩙦
𩗓 𫗈
𩗴 𫗉
𩘀 𩙩
𩘝 𩙭
𩘹 𩙨
𩘺 𩙬
𩙈 𩙰
𩚛 𩟿
𩚥 𩠀
𩚩 𫗡
𩚵 𩠁
𩛆 𩠂
𩛌 𫗤
𩛡 𫗨
𩛩 𩠃
𩜇 𩠉
𩜦 𩠆
𩜵 𩠊
𩝔 𩠋
𩝽 𫗳
𩞄 𩠎
𩞦 𩠏
𩞯 䭪
𩟐 𩠅
𩟗 𫗚
𩠴 𩠠
𩡣 𩡖
𩡺 𩧦
𩢡 𩧬
𩢴 𩧵
𩢸 𩧳
𩢾 𩧮
𩣏 𩧶
𩣑 䯃
𩣫 𩧸
𩣵 𩧻
𩣺 𩧼
𩤊 𩧩
𩤙 𩨆
𩤲 𩨉
𩤸 𩨅
𩥄 𩨋
𩥇 𩨍
𩥉 𩧱
𩥑 𩨌
𩦠 𫠌
𩧆 𩨐
𩭙 𩬣
𩯁 𫙂
𩯳 𩯒
𩰀 𩬤
𩰹 𩰰
𩳤 𩲒
𩴵 𩴌
𩵦 𫠏
𩵩 𩽺
𩵹 𩽻
𩶁 𫚎
𩶘 䲞
